name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
		MinorityInterests,"100,000","300,000","-3,200,000","2,400,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"666,300,000","142,000,000","201,700,000","154,000,000","168,600,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","109,248,000","127,577,000","261,736,000","92,639,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
BasicEPS,,"0.88","1.25","0.95","1.04",,"1.14","1.1","1.05","0.81","0.2","0.92","0.82","0.89","1.01","0.93","0.81","1.24","0.73","0.73","0.65","0.65","0.76","1.56","0.55","0.67","0.78","0.99","0.62",,"0.6","0.53","0.69",,"0.57","0.5","0.48",,"0.5","0.44","0.45",,"0.43","0.39","0.39",,"0.35","0.32","0.31",,"0.24","0.27","0.26",,"0.22",,"0.237"
DilutedEPS,,"0.87","1.24","0.94","1.03",,"1.12","1.08","1.04","0.8","0.2","0.9","0.81","0.87","0.99","0.91","0.79","1.22","0.72","0.72","0.64","0.64","0.74","1.53","0.54","0.66","0.77","0.97","0.61",,"0.58","0.52","0.68",,"0.56","0.49","0.47",,"0.48","0.43","0.44",,"0.41","0.38","0.37",,"0.34","0.31","0.29",,"0.23","0.26","0.25",,"0.22",,"0.228"
BasicAverageShares,,"161,349,619","161,366,544","162,007,784","162,641,819",,"162,502,191","162,371,920","162,894,306","163,289,013","163,580,563","163,743,835","163,528,343","164,344,502","164,829,250","165,015,642","165,043,047","164,730,093","164,577,575","164,922,237","166,442,991","167,369,020","168,874,129","168,296,318","168,453,750","169,392,359","168,739,437","164,141,804","158,087,919",,"166,187,540","166,343,630","166,981,982",,"168,044,100","168,147,069","168,078,589",,"165,978,080","165,946,009","164,836,992",,"164,195,325","166,960,806","169,030,227",,"178,687,236","180,492,106","180,053,550",,"172,796,400","172,887,331","172,796,400",,"182,267,667",,"172,796,400"
DilutedAverageShares,,"163,079,591","162,792,791","163,046,538","164,436,717",,"165,731,226","165,103,088","165,724,120","166,218,621","166,779,618","166,697,276","166,544,945","167,346,841","168,200,766","168,651,202","168,992,535","168,333,256","167,957,058","168,314,296","170,150,862","170,200,721","171,785,900","171,218,782","171,480,884","172,566,722","172,171,337","167,586,100","161,481,213",,"169,522,448","169,503,664","170,421,489",,"172,154,553","172,467,688","172,760,641",,"171,660,543","171,901,349","171,350,820",,"171,169,658","174,634,046","176,964,192",,"187,188,667","189,541,893","189,454,756",,"179,850,850","179,824,479","179,850,850",,"189,667,514",,"179,850,850"
TotalOperatingIncomeAsReported,"1,000,500,000","193,800,000","288,900,000","267,400,000","250,400,000","250,600,000","275,400,000","259,700,000","252,300,000","200,400,000","75,700,000","218,300,000","202,400,000","216,200,000","211,100,000","212,300,000","194,500,000","210,000,000","208,400,000","195,000,000","187,700,000","185,470,000","198,422,000","191,079,000","192,629,000","195,668,000","208,880,000","153,722,000","178,292,000","177,047,000","175,490,000","159,066,000","148,843,000","145,754,000","169,590,000","151,498,000","147,425,000","158,974,000","155,251,000","138,402,000","138,961,000","138,857,000","131,409,000","123,818,000","119,297,000","113,707,000","113,718,000","107,075,000","106,414,000","42,158,000","84,795,000","87,851,000","87,203,000","76,195,000","77,724,000","78,937,000","77,686,000"
TotalExpenses,"1,864,100,000","438,200,000","470,100,000","480,100,000","475,700,000","443,400,000","427,300,000","419,100,000","437,500,000","476,400,000","577,000,000","434,300,000","422,600,000","397,700,000","387,600,000","389,000,000","386,700,000","360,300,000","340,700,000","328,200,000","314,900,000","320,653,000","299,659,000","307,217,000","300,072,000","364,894,000","341,521,000","343,928,000","281,105,000","287,817,000","273,175,000","264,488,000","260,800,000","186,709,000","269,007,000","269,822,000","255,898,000","256,756,000","243,612,000","234,824,000","207,540,000","212,736,000","208,689,000","206,826,000","193,572,000","179,995,000","173,636,000","174,602,000","169,740,000","222,968,000","173,516,000","170,065,000","158,548,000","155,274,000","146,667,000","143,135,000","137,932,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"666,300,000","142,000,000","201,700,000","154,000,000","168,600,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","103,932,000","127,577,000","361,481,000","111,510,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
NormalizedIncome,"766,828,100","257,201,705.238","201,620,900","154,322,000","167,282,500","191,454,351.852","185,877,400","179,557,200","173,363,200","128,512,841.371","37,547,500","150,801,500","134,716,000","149,456,124.722","153,861,310","149,683,380","132,508,240","203,820,000","118,962,940","118,579,200","107,517,500","105,386,661.666","126,005,240","106,173,410","109,699,948","113,861,601.573","119,633,840","94,327,608","99,019,022","99,164,479.908","99,193,980","87,974,800","84,435,213","80,908,786.415","96,295,536","84,120,146","80,602,785","97,968,093.881","83,298,196.361","73,349,158.579","74,400,868.874","80,134,124.749","71,039,254.851","63,478,858.328","65,658,800","65,649,803.576","62,839,200","58,325,350","55,333,400","-5,072,200","42,170,550","45,885,700","45,145,750","36,858,900","40,838,700","39,419,250","41,323,700"
