name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
BasicEPS,,"0.72","0.31","0.56","-0.22","0.36","0.07","-0.43","-0.13","0.13","0.2","0.22","0.23","0.47","0.36","0.3","0.21","0.71","0.14","-0.83","-0.037",,"-0.068","-0.021","-0.051"
DilutedEPS,,"0.71","0.3","0.55","-0.22","0.36","0.07","-0.43","-0.13","0.12","0.2","0.21","0.23","0.45","0.35","0.29","0.2","0.69","0.13","-0.83","-0.037",,"-0.068","-0.021","-0.051"
BasicAverageShares,,"407,800,000","412,300,000","419,900,000","419,200,000","418,400,000","417,600,000","417,000,000","277,300,000","204,800,000","204,200,000","203,400,000","201,600,000","201,063,830","201,900,000","201,800,000","201,600,000","202,535,211","200,000,000","176,265,060","189,732,248",,"189,732,248","189,732,248","189,732,248"
DilutedAverageShares,,"413,400,000","418,500,000","426,800,000","425,900,000","424,500,000","422,000,000","417,000,000","277,300,000","209,400,000","209,000,000","208,900,000","207,700,000","210,000,000","209,100,000","209,600,000","209,900,000","208,405,797","215,384,615","176,265,060","189,732,248",,"189,732,248","189,732,248","189,732,248"
TotalOperatingIncomeAsReported,"565,700,000","140,400,000","163,900,000","140,100,000","149,700,000","130,400,000","74,300,000","-52,200,000","-66,800,000","47,600,000","72,900,000","74,600,000","80,200,000","134,100,000","117,700,000","101,400,000","89,800,000","77,700,000","95,900,000","-101,600,000","36,651,000","38,544,000","20,200,000","26,000,000","19,557,000"
TotalExpenses,"4,530,000,000","1,256,000,000","1,144,900,000","1,113,900,000","1,218,800,000","1,344,600,000","1,213,600,000","1,267,800,000","767,500,000","526,400,000","500,800,000","536,400,000","539,400,000","574,100,000","566,400,000","566,300,000","529,900,000","571,100,000","553,700,000","676,300,000","442,693,000","488,509,000","442,400,000","429,600,000","413,197,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"562,500,000","293,000,000","126,000,000","233,900,000","-90,400,000","151,600,000","29,500,000","-177,600,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-7,015,000","-10,220,000","-12,900,000","-3,900,000","-9,620,000"
NormalizedIncome,"568,861,000","179,652,000","154,896,000","160,983,500","110,954,400","177,661,000","58,920,600","-141,976,000","37,076,000","54,578,445.23","60,183,000","60,345,200","47,657,900","98,402,154.399","76,848,200","60,844,600","42,335,600","153,320,000","57,462,400","-104,158,800","-5,131,047","20,249,800","-12,900,000","-60,000","-7,042,400"
InterestExpense,"87,700,000","19,400,000","22,500,000","22,700,000","23,100,000","24,400,000","28,800,000","30,800,000","27,100,000","20,900,000","23,200,000","22,400,000","22,400,000","23,100,000","24,400,000","26,100,000","26,000,000","25,300,000","30,100,000","39,500,000","45,863,000","41,638,000","43,000,000","42,700,000","43,041,000"
NetInterestIncome,"-87,700,000","-19,400,000","-22,500,000","-22,700,000","-23,100,000","-24,400,000","-28,800,000","-30,800,000","-27,100,000","-20,900,000","-23,200,000","-22,400,000","-22,400,000","-23,100,000","-24,400,000","-26,100,000","-26,000,000","-25,300,000","-30,100,000","-39,500,000","-45,863,000","-41,638,000","-43,000,000","-42,700,000","-43,041,000"
