name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014
		DepreciationAndAmortizationInIncomeStatement,"317,000,000","73,000,000","78,000,000","82,000,000","84,000,000","110,000,000","80,000,000","95,000,000","84,000,000","120,000,000","68,000,000","58,000,000","69,000,000","72,000,000","72,000,000","72,000,000","72,000,000","78,000,000","-19,000,000","132,000,000","107,000,000","101,000,000","126,000,000","210,000,000","201,000,000","218,000,000","220,000,000","225,000,000","204,000,000","203,000,000","206,000,000","206,000,000"
			Amortization,"317,000,000","73,000,000","78,000,000","82,000,000","84,000,000","110,000,000","80,000,000","95,000,000","84,000,000","120,000,000","68,000,000","58,000,000","69,000,000","72,000,000","72,000,000","72,000,000","72,000,000","78,000,000","-19,000,000","132,000,000","107,000,000","101,000,000","126,000,000","210,000,000","201,000,000","218,000,000","220,000,000","225,000,000","204,000,000","203,000,000","206,000,000","206,000,000"
				AmortizationOfIntangiblesIncomeStatement,"317,000,000","73,000,000","78,000,000","82,000,000","84,000,000","110,000,000","80,000,000","95,000,000","84,000,000","120,000,000","68,000,000","58,000,000","69,000,000","72,000,000","72,000,000","72,000,000","72,000,000","78,000,000","-19,000,000","132,000,000","107,000,000","101,000,000","126,000,000","210,000,000","201,000,000","218,000,000","220,000,000","225,000,000","204,000,000","203,000,000","206,000,000","206,000,000"
	OtherTaxes,"-64,000,000","17,000,000","-5,000,000","-76,000,000","0","16,000,000","15,000,000","30,000,000","35,000,000","21,000,000","-288,000,000","134,000,000","-4,000,000","-219,000,000","12,000,000","-2,000,000","425,000,000","919,000,000","2,000,000","-10,000,000","-7,000,000","18,000,000","-311,000,000",,,,,,,,,
OperatingIncome,"2,193,000,000","549,000,000","564,000,000","579,000,000","501,000,000","535,000,000","461,000,000","356,000,000","236,000,000","438,000,000","946,000,000","523,000,000","569,000,000","816,000,000","715,000,000","673,000,000","146,000,000","-404,000,000","146,000,000","571,000,000","483,000,000","936,000,000","1,582,000,000","869,000,000","797,000,000","811,000,000","1,075,000,000","883,000,000","854,000,000","912,000,000","1,376,000,000","922,000,000"
NetNonOperatingInterestIncomeExpense,"-172,000,000","-5,000,000","-106,000,000","-50,000,000","-11,000,000","-44,000,000","-57,000,000","-71,000,000","-68,000,000","-19,000,000","-38,000,000","-70,000,000","-18,000,000","-51,000,000","-111,000,000","-64,000,000","-78,000,000","-21,000,000","-67,000,000","-97,000,000","-85,000,000","-78,000,000","-100,000,000","-18,000,000","-129,000,000","-65,000,000","-9,000,000","4,000,000","-30,000,000","-18,000,000","-28,000,000","-16,000,000"
	InterestExpenseNonOperating,"172,000,000","5,000,000","106,000,000","50,000,000","11,000,000","44,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"215,000,000",,,"50,000,000","11,000,000","44,000,000","57,000,000","71,000,000","68,000,000","19,000,000","38,000,000","70,000,000","18,000,000","51,000,000","111,000,000","64,000,000","78,000,000","21,000,000","67,000,000","97,000,000","85,000,000","78,000,000","100,000,000","18,000,000","129,000,000","65,000,000","9,000,000","-4,000,000","30,000,000","18,000,000","28,000,000","16,000,000"
OtherIncomeExpense,"1,854,000,000","-51,000,000","2,233,000,000","-124,000,000","-202,000,000","-286,000,000","-279,000,000","-319,000,000","-1,079,000,000","-41,000,000","-185,000,000","-718,000,000","-111,000,000","-110,000,000","-28,000,000","-144,000,000","-184,000,000","-232,000,000","-307,000,000","-413,000,000","-297,000,000","-513,000,000","-492,000,000","1,556,000,000","-305,000,000","-427,000,000","-956,000,000","-639,000,000","-426,000,000","-180,000,000","-550,000,000","-568,000,000"
	GainOnSaleOfSecurity,,,,,,"1,000,000",,"7,000,000","-4,000,000","34,000,000","8,000,000","-8,000,000","7,000,000",,"291,000,000","77,000,000","36,000,000","1,000,000",,,,,,,,,,,,,,
	EarningsFromEquityInterest,"185,000,000","31,000,000","71,000,000","79,000,000","4,000,000","26,000,000","17,000,000","27,000,000","-10,000,000","33,000,000","-1,000,000","3,000,000","3,000,000","15,000,000","15,000,000","11,000,000","-10,000,000","22,000,000","1,000,000","1,000,000","-3,000,000","-22,000,000","-4,000,000","-72,000,000",,,,"0",,,,
	SpecialIncomeCharges,"1,580,000,000","-118,000,000","2,148,000,000","-222,000,000","-223,000,000","-330,000,000","-287,000,000","-381,000,000","-1,101,000,000","-145,000,000","-206,000,000","-725,000,000","-138,000,000","-141,000,000","-334,000,000","-232,000,000","-210,000,000","-255,000,000","-336,000,000","-414,000,000","-294,000,000","-491,000,000","-488,000,000","1,628,000,000","-305,000,000","-427,000,000","-956,000,000","-639,000,000","-426,000,000","-180,000,000","-550,000,000","-568,000,000"
		RestructuringAndMergernAcquisition,"755,000,000","118,000,000","197,000,000","217,000,000","222,000,000","330,000,000","285,000,000","379,000,000","214,000,000","145,000,000","178,000,000","706,000,000","145,000,000","141,000,000","246,000,000","232,000,000","210,000,000","255,000,000","262,000,000","438,000,000","310,000,000","497,000,000","739,000,000","541,000,000","305,000,000","427,000,000","909,000,000","325,000,000","426,000,000","180,000,000","550,000,000","568,000,000"
		ImpairmentOfCapitalAssets,"865,000,000",,"-4,000,000","0","0",,"0","0","865,000,000",,"28,000,000","19,000,000",,"0","88,000,000",,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","136,000,000",,,,
		OtherSpecialCharges,"26,000,000",,"-2,341,000,000","5,000,000","1,000,000",,"2,000,000","2,000,000","22,000,000",,"0",,"-7,000,000",,,,,,"74,000,000","-24,000,000","-16,000,000","-6,000,000",,,,,"47,000,000","178,000,000",,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"0","0",,"0","251,000,000","2,169,000,000",,,,"0",,,,
	OtherNonOperatingIncomeExpenses,"89,000,000","36,000,000","17,000,000","19,000,000","17,000,000","17,000,000","35,000,000","28,000,000","36,000,000","37,000,000","14,000,000","12,000,000","17,000,000","16,000,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"3,875,000,000","493,000,000","2,688,000,000","406,000,000","288,000,000","205,000,000","125,000,000","-34,000,000","-911,000,000","378,000,000","723,000,000","-265,000,000","440,000,000","655,000,000","576,000,000","465,000,000","-116,000,000","-657,000,000","-228,000,000","61,000,000","101,000,000","345,000,000","990,000,000","2,407,000,000","363,000,000","319,000,000","110,000,000","248,000,000","398,000,000","714,000,000","798,000,000","338,000,000"
