name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
DilutedAverageShares,,"204,000,000","203,000,000","202,000,000","202,000,000","202,455,000","201,861,000","201,453,000","199,938,000","197,843,000","197,878,215","186,677,622","182,061,579","190,662,082","192,190,899","177,343,176","190,249,786","173,567,143","171,883,190","170,419,083","168,742,366","166,816,643","165,378,836","163,838,755","162,067,108","159,718,874","156,930,506","154,465,367","151,601,880","148,666,257","146,335,519","144,456,675","142,060,025","139,508,838","137,456,531","134,454,085","129,782,029","124,000,655","117,698,005","27,788,547","25,123,582","106,558,215"
TotalOperatingIncomeAsReported,"257,000,000","35,000,000","74,000,000","51,000,000","97,000,000","17,930,000","69,332,000","62,266,000","49,335,000","28,512,000","56,324,000","-27,000,000","-15,713,000","278,000","9,568,000","-31,989,000","-20,283,000","-13,132,000","-7,055,000","-38,737,000","-42,490,000","-23,603,000","-26,775,000","-48,278,000","-324,152,000","-30,858,000","-28,040,000","-53,235,000","-54,232,000","-36,684,000","-34,499,000","-44,471,000","-36,181,000","-19,361,000","-14,650,000","-19,343,000","-12,913,000","-9,538,000","-13,347,000","-9,117,000","-5,582,000","-4,163,000"
TotalExpenses,"5,639,000,000","1,579,000,000","1,438,000,000","1,358,000,000","1,263,000,000","1,232,400,000","1,082,640,000","1,008,576,000","997,005,000","923,262,000","829,509,000","860,904,000","804,639,000","715,163,000","663,529,000","663,045,000","609,505,000","559,502,000","505,225,000","510,440,000","459,273,000","409,269,000","384,431,000","389,590,000","360,031,000","316,508,000","289,190,000","299,951,000","266,196,000","234,688,000","213,211,000","211,228,000","175,271,000","144,591,000","125,909,000","121,565,000","98,852,000","84,700,000","77,692,000","65,891,000","53,013,000","77,538,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"230,000,000","26,000,000","63,000,000","59,000,000","82,000,000","16,648,000","12,858,000","40,766,000","48,231,000","598,724,000","40,598,000","-11,079,000","-1,545,000","7,015,000","8,405,000","-52,746,000","10,622,000","-27,807,000","-24,188,000","-56,473,000","-40,662,000","-32,589,000","-36,258,000","-49,625,000","-333,332,000","-37,378,000","-41,030,000","-61,925,000","-58,093,000","-44,663,000","-41,050,000","-50,363,000","-43,311,000","-24,232,000","-14,713,000","-21,405,000","-13,358,000","-9,931,000","-13,053,000","-8,724,000","-5,640,000","-6,684,000"
NormalizedIncome,"232,760,000","26,000,000","63,000,000","59,000,000","77,850,000","20,896,600","45,030,560","42,964,984.943","54,776,000","598,692,610","41,905,170","-12,056,160","-1,455,210","6,753,660","8,020,290","-51,675,320","-7,519,960","-27,304,800","-20,316,140","-45,501,900","-45,393,960","-31,997,400","-35,982,270","-49,965,340","-64,712,330","-38,471,200","-36,118,890","-61,401,680","-61,842,480","-44,663,000","-41,050,000","-50,363,000","-43,311,000","-24,232,000","-14,713,000","-21,405,000","-13,358,000","-9,931,000","-13,053,000","-8,763,409.872","-5,640,000","-6,684,000"
InterestIncome,"20,000,000","5,000,000","5,000,000","5,000,000","6,000,000","6,750,000","8,245,000","10,475,000","14,013,000","13,914,000","14,562,000","14,427,000","12,506,000","12,568,000","7,474,000","7,483,000","7,168,000","6,409,000","4,546,000","3,144,000","2,578,000","2,194,000","2,049,000","1,964,000","1,825,000","1,475,000","1,252,000","1,074,000","948,000","20,107,000","-5,949,000","-5,231,000","-5,963,000","-4,326,000","600,000","-1,323,000","119,000","456,000",,,,
InterestExpense,"28,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,708,000","7,980,000","8,078,000","8,156,000","6,869,000","8,371,000","8,269,000","8,168,000","6,276,000","11,233,000","15,498,000","17,064,000","14,042,000","16,566,000","11,337,000","8,678,000","6,747,000","8,389,000","8,248,000","8,109,000","6,305,000","7,839,000","7,707,000","7,578,000","10,358,000","5,949,000","5,231,000","5,963,000","4,326,000",,"1,323,000",,,,,,
NetInterestIncome,"-8,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-958,000","265,000","1,987,000","5,443,000","5,439,000","6,191,000","6,158,000","4,338,000","3,630,000","-3,759,000","-8,015,000","-9,896,000","-10,404,000","-12,020,000","-8,193,000","-6,100,000","-6,338,000","-6,340,000","-6,284,000","-6,284,000","-6,498,000","-6,587,000","-6,633,000","-6,630,000","-8,952,000","-5,949,000","-5,231,000","-5,963,000","-4,326,000","600,000","-1,323,000","119,000","456,000","615,000",,"492,000","-1,446,000"
EBIT,"277,000,000","39,000,000","75,000,000","57,000,000","106,000,000","21,068,000","33,413,000","70,108,000","56,518,000","41,055,000","69,141,000","-8,046,000","-3,288,000","8,231,000","18,463,000","-25,351,000","9,704,000","-10,838,000","-6,202,000","-46,567,000","-34,774,000","-24,098,000","-24,992,000","-46,018,000","-323,450,000","-29,349,000","-31,992,000","-52,714,000","-49,528,000","-32,888,000","-34,499,000","-44,471,000","-36,181,000","-19,361,000","-14,650,000","-19,343,000","-12,913,000","-9,538,000","-13,347,000","-9,117,000","-5,582,000","-4,163,000"
EBITDA,"749,000,000"
ReconciledCostOfRevenue,"1,353,000,000","374,000,000","350,000,000","329,000,000","299,000,000","279,104,000","251,704,000","232,939,000","223,366,000","211,453,000","200,793,000","198,147,000","186,252,000","168,162,000","157,858,000","153,165,000","143,473,000","134,360,000","127,280,000","121,685,000","116,447,000","104,936,000","102,837,000","96,649,000","94,260,000","90,909,000","81,888,000","79,717,000","76,899,000","70,638,000","66,086,000","58,938,000","53,114,000","45,378,000","41,575,000","35,998,000","32,308,000","32,308,000","27,574,000","22,891,000","21,236,000","27,923,000"
ReconciledDepreciation,"472,000,000","126,000,000","125,000,000","115,000,000","106,000,000","93,033,000","84,720,000","82,390,000","76,238,000","72,331,000","64,006,000","60,328,000","55,449,000","43,112,000","37,874,000","35,207,000","33,411,000","32,067,000","29,401,000","27,181,000","25,226,000","23,366,000","22,264,000","20,000,000","17,452,000","16,399,000","15,100,000","15,033,000","13,824,000","13,325,000","12,104,000","8,692,000","7,938,000","7,836,000","6,613,000","5,339,000","4,364,000","4,664,000","3,969,000","2,826,000","2,047,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"230,000,000","26,000,000","63,000,000","59,000,000","82,000,000","16,648,000","12,858,000","40,766,000","48,231,000","598,724,000","40,598,000","-11,079,000","-1,545,000","7,015,000","8,405,000","-52,746,000","10,622,000","-27,807,000","-24,188,000","-56,473,000","-40,662,000","-32,589,000","-36,258,000","-49,625,000","-333,332,000","-37,378,000","-41,030,000","-61,925,000","-58,093,000","-44,663,000","-41,050,000","-50,363,000","-43,311,000","-24,232,000","-14,713,000","-21,405,000","-13,358,000","-9,931,000","-13,053,000","-8,724,000","-5,640,000","-6,684,000"
TotalUnusualItemsExcludingGoodwill,"-3,000,000","0","0",,"5,000,000","-5,820,000","-44,072,000","-3,346,000","-6,545,000","43,000","-1,951,000","1,437,000","-123,000","358,000","527,000","-1,508,000","24,852,000","-837,000","-4,119,000","-11,195,000","5,034,000","-986,000","-303,000","374,000","-271,333,000","1,822,000","-5,063,000","-534,000","3,826,000",,,,,,,,,,,"41,000",,
TotalUnusualItems,"-3,000,000","0","0",,"5,000,000","-5,820,000","-44,072,000","-3,346,000","-6,545,000","43,000","-1,951,000","1,437,000","-123,000","358,000","527,000","-1,508,000","24,852,000","-837,000","-4,119,000","-11,195,000","5,034,000","-986,000","-303,000","374,000","-271,333,000","1,822,000","-5,063,000","-534,000","3,826,000",,,,,,,,,,,"41,000",,
NormalizedEBITDA,"752,000,000","165,000,000","200,000,000","172,000,000","207,000,000","119,921,000","162,205,000","155,844,000","139,301,000","113,343,000","135,098,000","50,845,000","52,284,000","50,985,000","55,810,000","11,364,000","18,263,000","22,066,000","27,318,000","-8,191,000","-14,582,000","254,000","-2,425,000","-26,392,000","-34,665,000","-14,772,000","-11,829,000","-37,147,000","-39,530,000","-19,563,000","-22,395,000","-35,779,000","-28,243,000","-11,525,000","-8,037,000","-14,004,000","-8,549,000","-4,874,000","-9,378,000","-6,332,000","-3,535,000","-4,163,000"
TaxRateForCalcs,"0.08","0.188","0.07","0.27","0.17","0.27","0.27","0.343","0","0.27","0.33","0.32","0.27","0.27","0.27","0.29","0.27","0.4","0.06","0.02","0.06","0.4","0.09","0.09","0.01","0.4","0.03","0.02","0.02","0.35","0.01","0.01","0.03","0.35","0.05","0.04","0.04","0.35","0.35","0.039","0.35","0.35"
TaxEffectOfUnusualItems,"-240,000","0","0","0","850,000","-1,571,400","-11,899,440","-1,147,015.057","0","11,610","-643,830","459,840","-33,210","96,660","142,290","-437,320","6,710,040","-334,800","-247,140","-223,900","302,040","-394,400","-27,270","33,660","-2,713,330","728,800","-151,890","-10,680","76,520","0","0","0","0","0","0","0","0","0","0","1,590.128","0","0"
