name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalOperatingIncomeAsReported,"-492,739,000","167,375,000","-742,548,000","30,252,000","52,182,000","251,924,000","56,107,000","-273,930,000","-7,443,000","152,884,000","44,145,000","75,686,000","93,658,000","206,908,000","91,868,000","79,624,000","74,925,000","110,098,000","7,279,000","-38,359,000","-40,278,000","-143,627,000","-78,089,000","-86,376,000","-59,116,000","-67,179,000","-105,237,000","-131,004,000","-146,616,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
TotalExpenses,"4,804,520,000","1,399,845,000","1,260,664,000","1,160,175,000","983,836,000","1,037,117,000","880,126,000","957,368,000","815,080,000","854,457,000","779,572,000","765,695,000","693,232,000","701,928,000","666,243,000","630,917,000","589,946,000","621,462,000","582,354,000","612,214,000","588,529,000","860,833,000","694,023,000","688,334,000","653,637,000","777,652,000","674,474,000","633,387,000","582,555,000","577,231,000","522,697,000","462,077,000","379,863,000","752,351,000","231,912,000","178,208,000","138,250,000","121,023,000","103,628,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
NormalizedIncome,"337,552,730","181,694,000","28,509,877.267","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
InterestIncome,"35,683,000","7,355,000","8,125,000","9,202,000","11,001,000","13,101,000","17,167,000","25,013,000","32,897,000","33,927,000","40,348,000","42,887,000","40,541,000","37,013,000","36,067,000","21,960,000","16,181,000",,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"51,186,000","10,824,000","13,284,000","13,893,000","13,185,000","40,166,000","39,614,000","39,828,000","33,270,000","26,377,000","36,226,000","38,317,000","37,260,000","37,273,000","38,336,000","29,982,000","27,015,000","26,700,000","26,732,000","26,396,000","25,409,000","25,281,000","24,860,000","24,934,000","24,893,000","24,183,000","25,239,000","24,437,000","24,319,000",,,,,,,,,,
NetInterestIncome,"-15,503,000","-3,469,000","-5,159,000","-4,691,000","-2,184,000","-27,065,000","-22,447,000","-14,815,000","-373,000","7,550,000","4,122,000","4,570,000","3,281,000","-260,000","-2,269,000","-8,022,000","-10,834,000","-26,700,000","-26,732,000","-26,396,000","-25,409,000","19,000","-24,860,000","-24,934,000","-24,893,000","-24,183,000","-25,239,000","-24,437,000","-24,319,000","-23,513,000","-5,795,000","-2,110,000","-2,567,000","-2,387,000","-1,727,000","-1,513,000","-1,233,000","-830,000","-766,000"
EBIT,"-359,927,000","195,489,000","-713,798,000","95,193,000","63,189,000","264,185,000","69,297,000","-249,278,000","17,735,000","184,471,000","83,989,000","126,096,000","133,763,000","243,810,000","125,594,000","95,849,000","90,897,000","120,253,000","9,201,000","-86,679,000","-32,956,000","-136,965,000","-71,449,000","-79,642,000","-52,810,000","-62,648,000","-103,289,000","-131,699,000","-137,491,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
EBITDA,"184,921,000"
ReconciledCostOfRevenue,"1,797,510,000","515,091,000","484,479,000","416,932,000","381,008,000","432,924,000","361,388,000","288,039,000","284,037,000","314,008,000","281,057,000","277,965,000","264,011,000","268,345,000","243,644,000","230,185,000","222,823,000","217,979,000","210,016,000","212,908,000","220,339,000","305,710,000","225,159,000","202,966,000","198,405,000","217,963,000","200,195,000","167,623,000","143,475,000","136,613,000","124,166,000","100,027,000","85,503,000","112,651,000","62,239,000","50,573,000","41,255,000","36,918,000","33,693,000"
ReconciledDepreciation,"544,848,000","145,536,000","133,448,000","134,812,000","131,052,000","128,708,000","121,983,000","123,837,000","120,649,000","116,473,000","119,986,000","115,616,000","113,474,000","110,723,000","111,947,000","105,982,000","96,846,000","92,520,000","97,492,000","103,063,000","102,792,000","119,390,000","100,878,000","93,283,000","88,621,000","87,446,000","81,464,000","76,049,000","67,864,000","62,428,000","60,155,000","45,631,000","39,951,000","33,224,000","29,023,000","25,917,000","22,730,000","21,001,000","19,956,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
TotalUnusualItemsExcludingGoodwill,"-765,701,000","0","-765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,"-765,701,000","0","-765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"950,622,000","341,025,000","185,351,000","230,005,000","194,241,000","392,893,000","191,280,000","-125,441,000","138,384,000","300,944,000","203,975,000","241,712,000","247,237,000","354,533,000","237,541,000","201,831,000","187,743,000","212,773,000","106,693,000","16,384,000","69,836,000","-17,575,000","29,429,000","13,641,000","35,811,000","24,798,000","-21,825,000","-55,650,000","-69,627,000","-35,725,000","-101,276,000","-104,280,000","-89,420,000","-476,452,000","-34,309,000","-12,999,000","-1,177,000","12,225,000","-1,345,000"
TaxRateForCalcs,"0.27","0.016","0.262","0.193","0.27","0.008","0.034","0.27","0.27","0.249","0.235","0.27","0.27","0.27","0.27","0.27","0.045","0.026","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.125","0.4","0.35","0.35","0.037","0.35","0.006","0.35","0.35","0.35","0.141","0.35"
TaxEffectOfUnusualItems,"-206,739,270","0","-200,434,122.733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
