name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
		MinorityInterests,"-23,177,000","-14,482,000","-8,740,000","874,000","-829,000","1,055,000","546,000","983,000","-473,000","740,000","-808,000","-504,000","1,524,000","-2,210,000","-7,658,000","-3,275,000","-7,790,000","-407,000","-341,000","-85,000","607,000","-1,045,000","171,000","-55,000","-4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"2,701,000",,,,,,"-811,000","1,570,000","1,522,000","-1,062,000","1,485,000","756,000","-2,432,000","1,088,000","6,912,000","2,305,000","7,665,000",,,,"-614,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"154,865,000","40,134,000","29,058,000","28,051,000","26,920,000","23,540,000",
DilutedNIAvailtoComStockholders,"533,392,000","131,480,000","124,013,000","128,783,000","149,116,000","126,035,000","115,781,000","64,575,000","42,938,000","70,676,000","74,089,000","61,202,000","47,293,000","74,487,000","68,864,000","50,956,000","25,980,000","82,084,000","39,709,000","25,660,000","13,456,000","40,600,000","26,183,000","20,888,000","10,208,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","-152,397,000","-18,365,000","-14,742,000","-17,054,000","-21,126,000","-540,090,000","-80,172,000"
BasicEPS,,"2.09","1.98","2.06","2.39","2.02","1.86","1.04","0.69","1.14","1.2","0.99","0.77","1.21","1.12","0.83","0.42","1.31","0.64","0.42","0.22","0.64","0.41","0.32","0.15","0.14","0.5","0.22","0.29","0.72","0.53","0.79","0.51","0.71","0.69","0.41","0.75","0.42","0.38","0.14","0.45",,"0.56","0.23","0.07",,"0.34","0.19","-4.26","-0.922","-0.74","-0.857","-1.061",,
DilutedEPS,,"2.04","1.93","2.01","2.33","1.97","1.82","1.02","0.68","1.12","1.18","0.98","0.76","1.2","1.11","0.82","0.42","1.3","0.64","0.41","0.21","0.64","0.4","0.31","0.15","0.14","0.49","0.21","0.28","0.7","0.52","0.77","0.5","0.69","0.67","0.4","0.73","0.41","0.37","0.14","0.44",,"0.55","0.23","0.07",,"0.34","0.19","-4.26","-0.922","-0.74","-0.857","-1.061",,
BasicAverageShares,,"62,992,455","62,690,437","62,605,166","62,478,734","62,389,159","62,353,473","62,267,083","62,126,481","62,056,624","61,973,447","61,921,711","61,762,260","61,669,467","61,579,564","61,534,423","61,943,495","61,883,857","61,758,190","62,146,393","62,366,263","63,021,966","64,615,935","65,870,714","66,099,755","66,482,219","68,175,466","68,961,877","68,806,337","68,598,310","68,556,051","68,538,251","68,421,800","68,203,811","68,198,006","68,140,330","67,864,475","67,515,127","67,415,363","67,309,260","67,200,480",,"67,134,999","67,134,999","67,107,560",,"67,094,447","67,093,250","35,748,290","19,908,540","19,908,540","19,908,540","19,908,540",,
DilutedAverageShares,,"64,487,071","64,208,116","64,088,709","64,099,073","63,985,879","63,761,380","63,364,253","63,283,737","63,219,078","62,770,592","62,405,863","62,223,638","62,201,066","62,220,298","62,054,447","62,474,936","62,500,072","62,316,788","62,635,437","62,936,126","63,533,112","65,126,117","66,388,581","66,600,040","67,472,321","69,182,465","70,063,063","70,088,935","70,170,300","70,033,224","70,087,976","70,008,490","69,918,699","69,887,025","69,809,599","69,554,941","69,477,244","69,166,501","68,645,533","68,637,927",,"67,646,423","67,718,654","67,344,349",,"67,231,403","67,200,565","35,748,290","19,908,540","65,578,790","65,578,790","65,578,790",,
TotalOperatingIncomeAsReported,"721,136,000","175,481,000","173,579,000","182,952,000","189,124,000","171,054,000","155,637,000","89,553,000","62,862,000","104,508,000","105,556,000","90,926,000","71,173,000","108,848,000","106,519,000","85,467,000","56,347,000","94,073,000","72,859,000","52,287,000","31,845,000","77,231,000","56,340,000","44,082,000","26,964,000","27,316,000","67,867,000","39,467,000","44,911,000","79,115,000","70,794,000","78,160,000","65,306,000","91,218,000","87,289,000","76,433,000","96,525,000","67,780,000",,,,,,,,,,,,,,,,,
TotalExpenses,"2,994,583,000","870,125,000","769,119,000","737,029,000","618,310,000","590,028,000","545,718,000","457,295,000","413,053,000","486,424,000","495,579,000","450,990,000","399,180,000","462,518,000","452,996,000","409,482,000","341,287,000","393,929,000","384,394,000","343,089,000","299,969,000","340,190,000","316,781,000","323,294,000","259,571,000","289,827,000","291,424,000","248,893,000","266,907,000","324,882,000","281,511,000","289,326,000","276,702,000","285,018,000","275,980,000","270,255,000","303,047,000","274,242,000","241,462,000","201,979,000","235,068,000","231,448,000","195,146,000","139,563,000","112,838,000","134,833,000","130,896,000","121,601,000","115,254,000","124,642,000","113,673,000","124,791,000","126,630,000","149,451,000","142,524,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"533,392,000","131,480,000","124,013,000","128,783,000","149,116,000","126,035,000","115,781,000","64,575,000","42,938,000","70,676,000","74,089,000","61,202,000","47,293,000","74,487,000","68,864,000","50,956,000","25,980,000","82,084,000","39,709,000","25,660,000","13,456,000","40,600,000","26,183,000","20,888,000","10,208,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","2,468,000","11,948,000","14,316,000","10,997,000","5,794,000","-515,765,000","-13,145,000"
NormalizedIncome,"550,201,205","149,935,328.099","123,880,505","129,213,858","148,628,173","125,836,081.922","115,545,618","64,063,500","42,149,840","70,716,270.733","73,676,353","60,855,768","46,604,758","73,853,960.003","68,561,456","51,696,277","25,729,755","82,246,802.041","39,733,457","25,723,308","13,565,620","41,012,283.041","26,544,202","20,885,456","10,454,785","34,212,200","34,108,860.33","16,989,145.194","20,538,171","49,565,089.449","37,956,560.68","50,800,751.923","34,676,040","48,518,618.395","47,495,591.249","36,389,200.325","51,836,436","27,398,450","25,742,316.789","16,871,100","32,958,013.196","267,114,750","38,179,302.28","15,799,097.36","5,045,138.343","19,723,822.405","23,151,479.459","13,055,670.049","6,747,802.353","12,096,813.174","13,280,104.242","6,243,253.602","-4,076,131.548","-3,303,769.488","-13,126,800"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000","29,000","19,000","26,000","25,000","23,000",,,,,,,,,,,
InterestExpense,"32,953,000","9,529,000","7,980,000","7,721,000","7,723,000","7,910,000","8,096,000","7,932,000","9,053,000","10,116,000","10,704,000","10,452,000","10,272,000","10,017,000","9,824,000","11,002,000","10,113,000","10,314,000","10,672,000","10,893,000","10,788,000","10,854,000","11,299,000","11,380,000","11,035,000","10,602,000","10,210,000","10,763,000","11,268,000","11,804,000","12,294,000","11,428,000","11,689,000","12,003,000","12,494,000","14,263,000","15,675,000","16,613,000","16,933,000","9,894,000","5,674,000","5,888,000","5,895,000","5,934,000","6,001,000","6,645,000","6,540,000","5,720,000","8,492,000","17,210,000","17,204,000","18,482,000","17,966,000","26,556,000","27,023,000"
