name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010,12/31/2009,09/30/2009
BasicEPS,,,"5.25","6.14","3.19",,"0.33","0.94","0.42",,"2.85","2.7","2.19",,"2.86","4.23","3.12","4.801","2.67","2.82","1.98","1.888","2.3","2.601","2.406","1.806","2.56","2.82","2.42","1.628","2.46","2.25","1.73","2.139","1.51","1.62","1.56","1.105","1.47","1.34","1.04",,"1.56","1.417","1.16",,"0.84","0.018",,"-1.15"
DilutedEPS,,,"5.25","6.13","3.18",,"0.33","0.94","0.42",,"2.85","2.7","2.19",,"2.85","4.22","3.11","4.79","2.67","2.81","1.98","1.87","2.3","2.56","2.37","1.78","2.54","2.82","2.41","1.54","2.45","2.23","1.72","2.11","1.5","1.61","1.55","1.09","1.46","1.33","1.04",,"1.51","1.38","1.15",,"0.84","0.018",,"-1.15"
BasicAverageShares,,,"334,000,000","334,000,000","334,000,000",,"334,000,000","334,000,000","334,000,000",,"337,000,000","370,000,000","372,000,000",,"389,000,000","391,000,000","394,000,000","394,512,054","395,000,000","401,000,000","403,000,000","404,046,331","413,000,000","419,381,566","428,158,354","440,150,069","462,000,000","472,000,000","479,000,000","486,969,402","509,000,000","523,000,000","544,000,000","548,824,138","563,000,000","574,000,000","574,000,000","572,010,676","573,000,000","574,795,762","572,000,000",,"570,000,000","567,491,020","566,000,000",,"564,000,000","564,000,000",,"564,000,000"
DilutedAverageShares,,,"334,000,000","335,000,000","334,000,000",,"334,000,000","334,000,000","334,000,000",,"337,000,000","370,000,000","372,000,000",,"390,000,000","392,000,000","395,000,000","395,000,000","395,000,000","402,000,000","403,000,000","407,000,000","414,000,000","425,000,000","434,000,000","446,000,000","463,000,000","472,000,000","481,000,000","499,000,000","512,000,000","527,000,000","548,000,000","555,000,000","567,000,000","578,000,000","578,000,000","578,000,000","577,000,000","577,000,000","575,000,000",,"575,000,000","575,000,000","569,000,000",,"565,000,000","564,000,000",,"564,000,000"
TotalOperatingIncomeAsReported,"6,773,000,000","911,000,000","2,248,000,000","2,526,000,000","1,088,000,000","893,000,000","23,000,000","339,000,000","304,000,000","798,000,000","1,124,000,000","1,177,000,000","1,017,000,000","794,000,000","1,317,000,000","1,626,000,000","1,494,000,000","1,341,000,000","1,332,000,000","1,577,000,000","1,210,000,000","1,048,000,000","1,249,000,000","1,403,000,000","1,360,000,000","1,052,000,000","1,650,000,000","1,845,000,000","1,575,000,000","1,077,000,000","1,706,000,000","1,613,000,000","1,340,000,000","1,264,000,000","1,207,000,000","1,364,000,000","1,267,000,000","959,000,000","1,328,000,000","1,449,000,000","946,000,000","201,000,000","1,467,000,000","1,265,000,000","1,065,000,000","844,000,000","988,000,000","367,000,000","-50,000,000","419,000,000"
TotalExpenses,"38,776,000,000","11,295,000,000","10,452,000,000","9,035,000,000","7,994,000,000","7,044,000,000","6,171,000,000","5,207,000,000","7,190,000,000","7,381,000,000","7,598,000,000","7,871,000,000","7,761,000,000","8,082,000,000","8,838,000,000","8,580,000,000","8,273,000,000","7,794,000,000","7,184,000,000","6,826,000,000","7,220,000,000","6,699,000,000","6,116,000,000","5,925,000,000","5,383,000,000","6,019,000,000","6,684,000,000","7,300,000,000","6,610,000,000","9,213,000,000","10,360,000,000","10,504,000,000","9,795,000,000","9,874,000,000","9,945,000,000","9,739,000,000","9,402,000,000","10,138,000,000","9,945,000,000","9,799,000,000","10,933,000,000","11,243,000,000","11,830,000,000","12,749,000,000","11,187,000,000","9,687,000,000","9,314,000,000","9,388,000,000","8,723,000,000","8,193,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,596,000,000","710,000,000","1,760,000,000","2,058,000,000","1,068,000,000","853,000,000","112,000,000","313,000,000","142,000,000","605,000,000","965,000,000","1,003,000,000","817,000,000","692,000,000","1,113,000,000","1,654,000,000","1,231,000,000","1,894,000,000","1,057,000,000","1,131,000,000","797,000,000","763,000,000","952,000,000","1,091,000,000","1,030,000,000","795,000,000","1,185,000,000","1,330,000,000","1,166,000,000","793,000,000","1,258,000,000","1,178,000,000","945,000,000","1,174,000,000","853,000,000","929,000,000","901,000,000","632,000,000","846,000,000","770,000,000","600,000,000","-215,000,000","895,000,000","804,000,000","663,000,000","771,000,000","474,000,000","10,000,000","-848,000,000","-650,000,000"
NormalizedIncome,"6,119,296,000","1,241,725,173.21","1,761,000,000","2,056,000,000","1,070,000,000","855,000,000","536,860,000","314,000,000","141,000,000","605,000,000","969,000,000","1,006,000,000","817,000,000","697,000,000","1,115,000,000","1,655,000,000","1,231,000,000","1,898,000,000","1,059,000,000","1,135,000,000","805,000,000","770,000,000","954,000,000","1,092,000,000","1,030,000,000","797,000,000","1,188,000,000","1,327,000,000","1,169,000,000","798,000,000","1,261,000,000","1,175,000,000","944,000,000","1,176,000,000","856,000,000","925,000,000","907,000,000","654,000,000","857,632,192.846","764,994,413.408","597,340,732.519","-213,593,548.387","888,533,236.994","792,538,203.191","695,177,681.473","1,078,850,000","545,248,266.297","5,450,000","-204,875,444.84","-124,829,094.608"
InterestIncome,"9,000,000","1,000,000","1,000,000","5,000,000","2,000,000","2,000,000","3,000,000","4,000,000","3,000,000","3,000,000","5,000,000","5,000,000","6,000,000","5,000,000","14,000,000","15,000,000","11,000,000","9,000,000","5,000,000","4,000,000","6,000,000","4,000,000","4,000,000","4,000,000","5,000,000","7,000,000","8,000,000","7,000,000","11,000,000","7,000,000","13,000,000","7,000,000","6,000,000","3,000,000","5,000,000","5,000,000","2,000,000","5,000,000","4,000,000","2,000,000","4,000,000",,,"13,000,000","8,000,000","9,000,000","4,000,000","2,000,000","3,000,000","4,000,000"
InterestExpense,"519,000,000","153,000,000","126,000,000","130,000,000","110,000,000","190,000,000","122,000,000","125,000,000","89,000,000","88,000,000","86,000,000","81,000,000","92,000,000","88,000,000","90,000,000","91,000,000","91,000,000","95,000,000","94,000,000","95,000,000","207,000,000","85,000,000","72,000,000","83,000,000","82,000,000","77,000,000","85,000,000","79,000,000","69,000,000","72,000,000","92,000,000","96,000,000","92,000,000","87,000,000","81,000,000","70,000,000","71,000,000","74,000,000","71,000,000","411,000,000","99,000,000","549,000,000","155,000,000","177,000,000","163,000,000","231,000,000","182,000,000","411,000,000","416,000,000","445,000,000"
