name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
NetNonOperatingInterestIncomeExpense,"-2,072,925,000","-950,020,000","-161,205,000","-137,259,000","-824,441,000","-131,405,000","-139,664,000","-114,537,000","-68,907,000","-73,207,000","-60,188,000","-65,969,000","-73,503,000","-68,178,000","-69,540,000","-72,988,000","-59,698,000","-84,309,000","-66,339,000","-64,196,000","-52,960,000","-88,023,000","-60,662,000","-68,420,000","-59,754,000","-68,690,000","-49,784,000","-52,446,000","-50,989,000","-56,438,000","-32,284,000","-31,860,000","-31,172,000","-24,633,000","-26,627,000","-103,686,000","-127,656,000","-47,659,000","-47,196,000","-48,905,000","-46,170,000","-45,748,000","-49,888,000","-46,682,000","-47,869,000","-54,653,000","-46,198,000","-37,010,000","-35,811,000","-37,421,000","-25,681,000","-26,348,000","-25,064,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000","9,000","14,000","10,000","20,000","15,000","37,000","28,000","69,000","132,000","287,000","348,000"
	InterestExpenseNonOperating,"2,072,925,000","950,020,000","161,205,000","137,259,000","824,441,000","89,205,000","139,664,000","114,537,000","68,907,000","73,207,000","60,188,000","65,969,000","73,503,000","68,178,000","69,540,000","72,988,000","59,698,000","84,309,000","66,339,000","64,196,000","52,960,000","88,023,000","60,662,000","68,420,000","59,754,000","68,690,000","49,784,000","52,446,000","50,989,000","56,438,000","32,284,000","31,860,000","31,172,000","24,633,000","26,627,000","103,686,000","127,656,000","47,659,000","47,196,000",,,"45,753,000","49,897,000","46,696,000","47,879,000","54,673,000","46,213,000","37,047,000","35,839,000","37,490,000","25,813,000","26,635,000","25,412,000"
	TotalOtherFinanceCost,,,,,,,,,,"73,207,000","60,188,000","65,969,000","73,503,000","68,178,000","69,540,000","72,988,000","59,698,000","84,309,000","66,339,000","64,196,000","52,960,000","88,023,000","60,662,000","68,420,000","59,754,000","68,690,000","49,784,000","52,446,000","50,989,000","56,438,000","32,284,000","31,860,000","31,172,000","24,633,000","26,627,000","103,686,000","127,656,000","47,659,000","47,196,000","48,905,000","46,170,000",,,,,,,,,,,,
OtherIncomeExpense,"123,953,000","66,489,000","4,720,000","25,501,000","27,243,000","-29,124,000","-23,680,000","-14,418,000","-1,601,974,000","-7,278,000","10,251,000","3,616,000","-434,000","9,299,000","98,000","12,922,000","-1,666,000","1,285,000","-3,262,000","-5,609,000","-2,815,000","4,979,000","-5,333,000","-10,753,000","2,805,000","-11,079,000","-1,733,000","-3,717,000","-30,139,000","-14,158,000","3,242,000","-325,000","388,000","235,000","-626,000","429,000","-832,000","-793,000","1,246,000","-2,070,000","3,010,000","1,469,000","-2,623,000","-344,000","2,432,000","-1,204,000","1,624,000","-33,769,000","-603,000","-584,000","-2,125,000","-4,253,000","17,335,000"
	SpecialIncomeCharges,"0","0","0","0","0","-27,800,000","0","0","-1,607,797,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,070,000","3,010,000",,"-2,623,000","-344,000","2,432,000","-1,204,000","1,624,000","-33,769,000","-603,000","-584,000","-2,125,000","-4,253,000","17,335,000"
		ImpairmentOfCapitalAssets,"0","0","0","0","0","0","0","0","1,607,797,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"123,953,000","66,489,000","4,720,000","25,501,000","27,243,000","-1,324,000","-23,680,000","-14,418,000","5,823,000","-7,278,000","10,251,000","3,616,000","-434,000","9,299,000","98,000","12,922,000","-1,666,000","1,285,000","-3,262,000","-5,609,000","-2,815,000","4,979,000","-5,333,000","-10,753,000","2,805,000","-11,079,000","-1,733,000","-3,717,000","-30,139,000","-14,158,000","3,242,000","-325,000","388,000","235,000","-626,000","429,000","-832,000","-793,000","1,246,000",,,,,,,,,,,,,,
PretaxIncome,"-4,501,320,000","-1,570,403,000","-845,591,000","-716,862,000","-1,368,464,000","-707,409,000","-681,127,000","-724,366,000","-1,887,145,000","118,891,000","461,787,000","246,328,000","84,359,000","150,701,000","480,834,000","232,086,000","105,689,000","94,170,000","407,219,000","205,266,000","63,959,000","70,506,000","347,619,000","147,845,000","74,333,000","38,153,000","255,315,000","161,220,000","-20,779,000","-24,154,000","205,780,000","116,403,000","42,305,000","37,032,000","180,827,000","-7,868,000","-97,500,000","1,053,000","128,188,000",,,,,,,,,,,,,,
TaxProvision,"5,267,000","2,318,000","294,000","927,000","1,728,000","31,524,000","-3,761,000","-9,123,000","-6,173,000","-2,406,000","11,203,000","6,138,000","-33,798,000","-3,933,000","10,456,000","5,410,000","2,534,000","-4,627,000","6,527,000","6,793,000","2,049,000","-1,726,000","5,241,000","2,599,000","1,104,000","-159,000","3,528,000","2,726,000","677,000","1,494,000","2,502,000","3,124,000","-9,387,000","625,000","7,933,000","1,047,000",,,,,,,,,,,,,,,,,
