name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
	SpecialIncomeCharges,"-268,000,000","-9,000,000","-25,000,000","-134,000,000","-100,000,000","-39,000,000","-49,000,000","-163,000,000","-116,000,000","-32,000,000","-196,000,000","-401,000,000","-460,000,000","-137,000,000","-4,990,000,000","-318,000,000","-352,000,000"
		RestructuringAndMergernAcquisition,"289,000,000","28,000,000","26,000,000","135,000,000","100,000,000","37,000,000","49,000,000","179,000,000","70,000,000","105,000,000","198,000,000","390,000,000","460,000,000","102,000,000","488,000,000","350,000,000","352,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,"0","0",,,"0","4,503,000,000",,
		OtherSpecialCharges,"13,000,000",,,,,,,,,"0",,"13,000,000",,,,,
		GainOnSaleOfBusiness,"21,000,000","19,000,000","1,000,000","1,000,000","0",,,"16,000,000","-46,000,000","73,000,000","2,000,000","2,000,000",,,"1,000,000","32,000,000",
	OtherNonOperatingIncomeExpenses,"1,290,000,000","294,000,000","357,000,000","291,000,000","348,000,000","212,000,000","30,000,000","65,000,000","91,000,000","69,000,000","58,000,000","18,000,000",,,"71,000,000","71,000,000",
PretaxIncome,"2,346,000,000","245,000,000","8,000,000","1,302,000,000","791,000,000","-70,000,000","-507,000,000","844,000,000","408,000,000","-187,000,000","-631,000,000","753,000,000","49,000,000","1,338,000,000","-5,650,000,000","308,000,000","-189,000,000"
TaxProvision,"524,000,000","90,000,000","-28,000,000","284,000,000","178,000,000","-169,000,000","-117,000,000","78,000,000","127,000,000","-145,000,000","-104,000,000","270,000,000","-40,000,000","595,000,000","-8,000,000","-67,000,000","27,000,000"
NetIncomeCommonStockholders,"1,759,000,000","159,000,000","30,000,000","970,000,000","600,000,000","41,000,000","-392,000,000","760,000,000","272,000,000","-21,000,000","-494,000,000","-608,000,000","89,000,000","-457,000,000","-5,121,000,000","694,000,000","-221,000,000"
	NetIncome,"1,759,000,000","159,000,000","30,000,000","970,000,000","600,000,000","41,000,000","-392,000,000","760,000,000","272,000,000","-21,000,000","-494,000,000","-608,000,000","89,000,000","-457,000,000","-5,121,000,000","694,000,000","-221,000,000"
		NetIncomeIncludingNoncontrollingInterests,"1,769,000,000","161,000,000","32,000,000","973,000,000","603,000,000","43,000,000","-390,000,000","766,000,000","282,000,000","-18,000,000","-505,000,000","-594,000,000","89,000,000","-457,000,000","-5,116,000,000","698,000,000","-216,000,000"
			NetIncomeContinuousOperations,"1,822,000,000","155,000,000","36,000,000","1,018,000,000","613,000,000","99,000,000","-390,000,000","766,000,000","281,000,000","-42,000,000","-527,000,000","483,000,000","89,000,000","743,000,000","-5,642,000,000","375,000,000","-216,000,000"
			NetIncomeDiscontinuousOperations,"-53,000,000","6,000,000","-4,000,000","-45,000,000","-10,000,000","-56,000,000","0","0","1,000,000","24,000,000","22,000,000","-1,077,000,000",,,"526,000,000","323,000,000",
