name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
OperatingIncome,"46,753,000,000","12,585,000,000","10,423,000,000","12,367,000,000","11,378,000,000","12,775,000,000","8,040,000,000","5,963,000,000","5,893,000,000","8,858,000,000","7,185,000,000","4,626,000,000","3,317,000,000","7,820,000,000","5,781,000,000","5,863,000,000","5,449,000,000","7,352,000,000","5,122,000,000","4,401,000,000","3,327,000,000","4,551,000,000","3,122,000,000","2,746,000,000","2,009,000,000","2,560,000,000","1,459,000,000","1,273,000,000","933,000,000","1,133,000,000","1,397,000,000","1,390,000,000","1,075,000,000","1,132,000,000","736,000,000","562,000,000","373,000,000","523,000,000","377,000,000","-743,000,000","381,000,000","547,000,000","414,000,000","407,000,000","388,000,000"
NetNonOperatingInterestIncomeExpense,"461,000,000","102,000,000","120,000,000","121,000,000","118,000,000","136,000,000","146,000,000","162,000,000","228,000,000","229,000,000","258,000,000","219,000,000","198,000,000","187,000,000","176,000,000","143,000,000","145,000,000","126,000,000","108,000,000","91,000,000","67,000,000","56,000,000","50,000,000","32,000,000","27,000,000","14,000,000","7,000,000","5,000,000","2,000,000","0","4,000,000","0","0","13,000,000","-21,000,000","-14,000,000","-15,000,000","-2,000,000","-11,000,000","-10,000,000","-13,000,000","-16,000,000","-10,000,000","-9,000,000","-7,000,000"
	InterestIncomeNonOperating,"461,000,000","102,000,000","120,000,000","121,000,000","118,000,000","136,000,000","146,000,000","162,000,000","228,000,000","249,000,000","258,000,000","219,000,000","198,000,000","196,000,000","176,000,000","143,000,000","145,000,000","132,000,000","108,000,000","91,000,000","67,000,000","66,000,000","50,000,000","32,000,000","27,000,000","37,000,000","7,000,000","5,000,000","2,000,000","23,000,000","4,000,000","0","0",,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,"219,000,000",,,,,,,,,,,,,,,,,,,,,,"6,000,000","21,000,000","14,000,000","15,000,000","16,000,000","11,000,000","10,000,000","13,000,000","16,000,000","10,000,000","9,000,000","7,000,000"
	TotalOtherFinanceCost,,,"-142,000,000","-146,000,000","-125,000,000","-280,000,000",,"-168,000,000","32,000,000","-311,000,000","-144,000,000","-206,000,000","-165,000,000","-151,000,000","-131,000,000","-5,000,000","-161,000,000","-110,000,000","-114,000,000","-87,000,000","-81,000,000","33,000,000","-47,000,000","-20,000,000","-56,000,000","3,000,000","27,000,000",,"1,000,000","19,000,000","-4,000,000","4,000,000",,,,,,,,,,,,,
OtherIncomeExpense,"70,000,000","16,000,000","22,000,000","25,000,000","7,000,000","144,000,000","-53,000,000","6,000,000","-260,000,000","82,000,000","-114,000,000","-13,000,000","-33,000,000","-36,000,000","-45,000,000","-138,000,000","16,000,000","-16,000,000","6,000,000","-4,000,000","14,000,000","-90,000,000","-3,000,000","-12,000,000","29,000,000","-17,000,000","-34,000,000","-5,000,000","-3,000,000","-19,000,000","-65,000,000","-4,000,000",,"-15,000,000","11,000,000","-3,000,000","-5,000,000","-16,000,000","6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
	GainOnSaleOfSecurity,"-140,000,000","1,000,000","-48,000,000",,"-93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
	OtherNonOperatingIncomeExpenses,"210,000,000","15,000,000","70,000,000","25,000,000","100,000,000","273,000,000","-53,000,000","6,000,000","-260,000,000","187,000,000","-114,000,000","-13,000,000","-33,000,000","177,000,000","-45,000,000","-138,000,000","16,000,000","-10,000,000","6,000,000","-4,000,000","14,000,000","-14,000,000","-3,000,000","-12,000,000","29,000,000","49,000,000","-34,000,000","-5,000,000","-3,000,000","68,000,000","-65,000,000","-4,000,000",,"-1,000,000","11,000,000","-3,000,000","-5,000,000","-2,000,000",,,,,,,
PretaxIncome,"47,284,000,000","12,703,000,000","10,565,000,000","12,513,000,000","11,503,000,000","13,055,000,000","8,133,000,000","6,131,000,000","5,861,000,000","9,169,000,000","7,329,000,000","4,832,000,000","3,482,000,000","7,971,000,000","5,912,000,000","5,868,000,000","5,610,000,000","7,462,000,000","5,236,000,000","4,488,000,000","3,408,000,000","4,517,000,000","3,169,000,000","2,766,000,000","2,065,000,000","2,557,000,000","1,432,000,000","1,273,000,000","932,000,000","1,114,000,000","1,336,000,000","1,386,000,000","1,075,000,000","1,130,000,000","726,000,000","545,000,000","353,000,000","505,000,000","372,000,000","-765,000,000","382,000,000","519,000,000","379,000,000","399,000,000","398,000,000"
