name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
DilutedEPS,,"2.4","1.95","1.94","1.86","1.46","1.53","1.14","1.47","1.29","1.16","1.02","1.06","1.05","1.15","0.89","1.15","-0.58","0.77","0.68","0.44","0.46","0.49","0.46","0.45","0.52","0.44","0.37","0.29","0.37","0.38","0.3","0.35","0.38","0.34","0.29","0.27","0.32","0.3","0.29","0.27",,"0.33","-0.41","0.455",,,,"0.149"
BasicAverageShares,,"56,754,000","56,649,000","56,463,000","56,170,000","56,031,000","55,884,000","55,700,706","55,286,747","55,062,000","54,877,666","54,682,000","54,245,133","54,031,000","53,852,000","53,517,000","53,079,000","52,879,000","52,545,000","51,899,000","50,958,000","50,717,000","51,131,000","50,211,000","49,714,000","49,360,000","49,043,000","48,584,000","47,886,000","47,620,000","47,315,000","47,068,000","46,797,000","46,532,000","46,162,000","45,486,000","44,812,000","43,294,000","42,952,000","42,475,000","30,197,000",,"17,124,000","17,056,000","17,142,000",,,,"17,142,000"
DilutedAverageShares,,"59,254,000","59,203,000","59,011,000","58,778,000","58,774,000","58,616,000","58,246,231","58,142,570","57,965,000","57,844,355","57,614,000","57,236,427","56,887,000","56,963,000","56,587,000","56,241,000","52,879,000","55,229,000","54,848,000","53,889,000","53,380,000","53,864,000","53,271,000","52,883,000","52,670,000","52,344,000","51,917,000","51,000,000","50,339,000","49,829,000","49,559,000","49,207,000","49,066,000","48,720,000","47,977,000","47,646,000","46,604,000","46,501,000","46,382,000","33,957,000",,"20,656,000","20,300,000","21,424,000",,,,"21,424,000"
TotalOperatingIncomeAsReported,"542,316,000","165,667,000","144,124,000","125,274,000","107,251,000","111,993,000","96,396,000","83,426,000","87,509,000","84,745,000","80,565,000","72,882,000","64,658,000","78,270,000","64,560,000","54,237,000","48,697,000","52,050,000","49,248,000","40,682,000","30,966,000","37,383,000","33,902,000","32,080,000","30,331,000","31,765,000","27,776,000","23,606,000","22,820,000","24,015,000","21,835,000","18,476,000","21,857,000","23,192,000","20,230,000","17,535,000","15,536,000","18,656,000","16,736,000","16,830,000","13,784,000","15,427,000","16,891,000","10,878,000","11,812,000","12,850,000","7,390,000","8,803,000","3,747,000"
TotalExpenses,"3,215,828,000","941,797,000","844,415,000","756,092,000","673,524,000","611,500,000","555,847,000","548,957,000","563,850,000","548,030,000","507,538,000","478,705,000","456,675,000","426,661,000","403,626,000","391,410,000","375,451,000","347,247,000","328,275,000","308,295,000","293,685,000","276,142,000","264,391,000","251,752,000","234,151,000","228,488,000","208,273,000","194,175,000","177,225,000","175,928,000","170,929,000","156,219,000","138,527,000","134,393,000","119,920,000","115,649,000","108,662,000","106,882,000","93,342,000","86,970,000","80,599,000","79,700,000","69,532,000","67,601,000","60,990,000","57,924,000","51,682,000","41,168,000","38,260,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"481,652,000","142,279,000","115,656,000","114,671,000","109,046,000","85,539,000","89,432,000","66,624,000","85,565,000","74,524,000","67,002,000","58,777,000","60,754,000","59,965,000","65,618,000","50,255,000","64,418,000","-30,874,000","42,634,000","37,359,000","23,641,000","24,763,000","26,174,000","24,430,000","23,899,000","27,638,000","22,873,000","19,231,000","14,714,000","18,423,000","19,040,000","14,814,000","17,364,000","18,759,000","16,437,000","14,118,000","12,680,000","14,999,000","14,065,000","13,321,000","12,099,000","12,384,000","13,950,000","8,277,000","9,742,000","11,630,000","6,065,000","7,425,000","3,188,000"
NormalizedIncome,"488,150,891","143,490,536.165","118,594,614","119,040,183","106,864,249","92,179,549.696","84,361,440","74,654,292","79,778,212","76,192,060.804","69,603,990","61,747,708","64,049,864","60,408,068.632","66,128,916","48,644,600","64,598,310","-29,810,800","42,698,911","36,003,184","26,084,785","29,989,885.959","27,533,936","26,243,050","24,918,100","26,397,460.974","22,847,464","19,596,955","19,357,478","20,702,829.387","19,651,018","15,811,395","18,361,764","19,331,941.318","17,018,040","14,821,890","13,083,691","15,105,347.952","14,603,450.292","14,489,185.33","12,031,502.092","12,712,378.917","16,093,502.504","10,150,507.498","9,852,023.43","12,348,868.979","5,969,469.539","8,320,849.433","3,763,501.241"
InterestIncome,,,,"2,580,000","5,374,000",,"1,672,000","1,817,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"486,000",,,"329,000","385,000",,"189,000","80,000","175,000","199,000","108,000"
InterestExpense,"1,727,000","4,356,000","5,325,000",,,"2,053,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"2,000","12,000","4,000","11,000","49,000"
NetInterestIncome,"-1,727,000","-4,356,000","-5,325,000","2,580,000","5,374,000","-2,053,000","1,672,000","1,817,000","2,386,000","1,950,000","2,509,000","1,190,000","3,076,000","1,080,000","1,941,000","1,052,000","-551,000","1,799,000","1,416,000","802,000","584,000","1,432,000","1,067,000","1,138,000","1,211,000","1,409,000","865,000","1,299,000","1,158,000","1,368,000","1,261,000","1,164,000","976,000","832,000","846,000","769,000","630,000","519,000","486,000","460,000","476,000","329,000","385,000","428,000","187,000","68,000","171,000","188,000","59,000"
EBIT,"542,316,000","165,667,000","140,683,000","125,274,000","107,251,000","111,993,000","96,396,000","83,426,000","87,509,000","84,745,000","80,565,000","72,882,000","64,658,000","78,270,000","64,560,000","54,237,000","48,697,000","52,050,000","49,248,000","40,682,000","30,966,000","37,383,000","33,902,000","32,080,000","30,331,000","31,765,000","27,776,000","23,606,000","22,820,000","26,256,000","21,835,000","18,476,000","21,857,000","23,192,000","20,230,000","17,535,000","15,536,000","18,656,000","16,736,000","16,830,000","13,784,000","15,349,000","16,891,000","12,575,000","11,867,000","12,178,000","7,686,000","8,034,000","3,273,000"
EBITDA,"687,467,000"
ReconciledCostOfRevenue,"2,421,941,000","712,204,000","638,177,000","567,908,000","503,652,000","449,890,000","406,755,000","402,522,000","406,986,000","394,413,000","363,054,000","342,370,000","332,502,000","319,031,000","301,081,000","289,175,000","277,634,000","254,121,000","239,369,000","220,132,000","207,730,000","198,226,000","190,797,000","180,782,000","167,381,000","158,291,000","148,479,000","134,256,000","125,887,000","121,465,000","122,509,000","110,102,000","102,454,000","97,627,000","88,539,000","83,547,000","77,937,000","77,284,000","69,099,000","63,803,000","60,175,000","59,388,000","51,627,000","48,816,000","45,505,000","40,125,000","37,214,000","29,003,000","26,186,000"
ReconciledDepreciation,"145,151,000","38,654,000","36,740,000","36,274,000","33,483,000","32,681,000","32,562,000","32,244,000","31,756,000","28,618,000","25,598,000","24,573,000","22,387,000","10,183,000","9,319,000","8,962,000","8,176,000","7,696,000","7,174,000","7,020,000","6,672,000","6,237,000","5,925,000","6,123,000","5,102,000","4,899,000","4,393,000","3,903,000","4,200,000","2,833,000","5,510,000","5,451,000","3,689,000","3,743,000","3,906,000","3,854,000","3,617,000","3,208,000","3,040,000","2,423,000","2,211,000","1,806,000","2,083,000","1,959,000","1,690,000","1,723,000","1,526,000","1,552,000","1,441,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"481,652,000","142,279,000","115,656,000","114,671,000","109,046,000","85,539,000","89,432,000","66,624,000","85,565,000","74,524,000","67,002,000","58,777,000","60,754,000","59,965,000","65,618,000","50,255,000","64,418,000","-30,874,000","42,634,000","37,359,000","23,641,000","24,763,000","26,174,000","24,430,000","23,899,000","27,638,000","22,873,000","19,231,000","14,714,000","18,423,000","19,040,000","14,814,000","17,364,000","18,759,000","16,437,000","14,118,000","12,680,000","14,999,000","14,065,000","13,321,000","12,099,000","12,384,000","13,950,000","8,277,000","9,742,000","11,630,000","6,065,000","7,425,000","3,188,000"
TotalUnusualItemsExcludingGoodwill,"-7,197,000","-1,362,000","-3,441,000","-4,693,000","2,299,000","-7,920,000","5,896,000","-9,167,000","6,524,000","-1,898,000","-3,105,000","-3,562,000","-3,484,000","-582,000","-514,000","1,830,000","-247,000","-1,772,000","-77,000","1,562,000","-2,955,000","-6,765,000","-1,728,000","-2,295,000","-1,290,000","1,559,000","32,000","-465,000","-5,754,000","-3,042,000","-718,000","-1,239,000","-1,241,000","-712,000","-720,000","-869,000","-499,000","-135,000","-635,000","-1,394,000","80,000","-407,000","-2,301,000","-2,400,000","-134,000","-752,000","121,000","-968,000","-582,000"
TotalUnusualItems,"-7,197,000","-1,362,000","-3,441,000","-4,693,000","2,299,000","-7,920,000","5,896,000","-9,167,000","6,524,000","-1,898,000","-3,105,000","-3,562,000","-3,484,000","-582,000","-514,000","1,830,000","-247,000","-1,772,000","-77,000","1,562,000","-2,955,000","-6,765,000","-1,728,000","-2,295,000","-1,290,000","1,559,000","32,000","-465,000","-5,754,000","-3,042,000","-718,000","-1,239,000","-1,241,000","-712,000","-720,000","-869,000","-499,000","-135,000","-635,000","-1,394,000","80,000","-407,000","-2,301,000","-2,400,000","-134,000","-752,000","121,000","-968,000","-582,000"
NormalizedEBITDA,"694,664,000","205,683,000","180,864,000","166,241,000","138,435,000","152,594,000","123,062,000","124,837,000","112,741,000","115,261,000","109,268,000","101,017,000","90,529,000","89,035,000","74,393,000","61,369,000","57,120,000","61,518,000","56,499,000","46,140,000","40,593,000","50,385,000","41,555,000","40,498,000","36,723,000","35,105,000","32,137,000","27,974,000","32,774,000","32,131,000","28,063,000","25,166,000","26,787,000","27,647,000","24,856,000","22,258,000","19,652,000","21,999,000","20,411,000","20,647,000","15,915,000","17,562,000","21,275,000","16,934,000","13,691,000","14,653,000","9,091,000","10,554,000","5,296,000"
TaxRateForCalcs,"0.097","0.11","0.146","0.069","0.051","0.162","0.14","0.124","0.113","0.121","0.162","0.166","0.054","0.239","0.006","0.12","0.27","0.4","0.157","0.132","0.173","0.227","0.213","0.21","0.21","0.204","0.202","0.213","0.193","0.251","0.149","0.195","0.196","0.195","0.193","0.19","0.191","0.212","0.152","0.162","0.156","0.193","0.068","0.219","0.179","0.044","0.21","0.075","0.011"
TaxEffectOfUnusualItems,"-698,109","-150,463.835","-502,386","-323,817","117,249","-1,279,450.304","825,440","-1,136,708","737,212","-229,939.196","-503,010","-591,292","-188,136","-138,931.368","-3,084","219,600","-66,690","-708,800","-12,089","206,184","-511,215","-1,538,114.041","-368,064","-481,950","-270,900","318,460.974","6,464","-99,045","-1,110,522","-762,170.613","-106,982","-241,605","-243,236","-139,058.682","-138,960","-165,110","-95,309","-28,652.048","-96,549.708","-225,814.67","12,502.092","-78,621.083","-157,497.496","-526,492.502","-23,976.57","-33,131.021","25,469.539","-72,150.567","-6,498.759"
