name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
BasicAverageShares,,"163,000,000","163,500,000","163,300,000","163,000,000","162,500,000","162,100,000","161,600,000","170,600,000","171,500,000","171,300,000","171,100,000","170,200,000","170,400,000","169,800,000","168,600,000","167,700,000","171,530,000","175,519,000","175,741,000","174,489,000",,"173,335,000","172,075,000","171,745,000","171,831,000","171,648,000","169,930,000","168,077,000","165,439,000","164,294,000","163,161,000","162,391,000","163,281,000","162,906,000","162,247,000","161,282,000","160,034,000","158,751,000","157,474,000","156,010,000",,"153,265,000","152,267,000","150,308,000",,"143,672,000","136,990,000","134,362,000",,"116,576,000","41,148,000","41,920,000",,
DilutedAverageShares,,"167,000,000","167,700,000","167,100,000","166,400,000","165,500,000","165,600,000","165,400,000","174,200,000","175,200,000","174,800,000","175,100,000","174,800,000","175,800,000","175,700,000","173,500,000","171,800,000","171,530,000","178,973,000","179,701,000","178,278,000",,"177,938,000","172,075,000","171,745,000","171,831,000","177,897,000","176,234,000","173,720,000","170,927,000","169,727,000","168,345,000","168,114,000","168,873,000","168,666,000","168,042,000","167,823,000","166,955,000","166,791,000","166,061,000","165,751,000",,"163,869,000","163,887,000","162,864,000",,"155,842,000","151,274,000","149,756,000",,"128,334,000","128,064,000","41,920,000",,
TotalOperatingIncomeAsReported,"650,400,000","214,900,000","166,400,000","147,500,000","121,600,000","169,400,000","126,900,000","116,700,000","115,900,000","118,400,000","100,000,000","75,200,000","50,600,000","85,100,000","62,800,000","50,700,000","32,400,000","42,198,000","33,696,000","28,500,000","5,410,000","45,193,000","5,488,000","-4,045,000","-5,672,000","12,867,000","-1,840,000","2,952,000","898,000","19,916,000","15,451,000","11,142,000","12,815,000","24,643,000","18,279,000","13,777,000","15,391,000","35,040,000","25,770,000","20,950,000","18,715,000","26,520,000","26,160,000","18,779,000","17,445,000","20,698,000","18,159,000","9,780,000","6,704,000","7,454,000","9,676,000","4,975,000","3,229,000","6,273,000","3,220,000"
TotalExpenses,"2,696,400,000","749,900,000","701,900,000","654,800,000","589,800,000","579,800,000","525,300,000","499,900,000","497,800,000","496,000,000","447,500,000","446,500,000","422,000,000","421,900,000","391,100,000","390,600,000","366,600,000","374,470,000","340,521,000","335,059,000","334,736,000","316,804,000","308,875,000","314,883,000","289,920,000","281,945,000","256,025,000","236,833,000","211,988,000","204,053,000","177,897,000","172,956,000","156,134,000","152,707,000","136,420,000","133,651,000","120,429,000","116,122,000","110,498,000","108,012,000","98,532,000","94,341,000","90,266,000","84,244,000","75,821,000","72,901,000","66,812,000","66,551,000","63,091,000","63,258,000","56,188,000","56,370,000","50,965,000","52,793,000","51,194,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","43,940,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
NormalizedIncome,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","22,970,000","11,009,400","25,665,800","8,459,850","-1,056,200","-3,215,800","-1,503,800","11,698,800","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,409,739.195","13,904,182.039","14,224,005.271","16,561,492.163","17,877,366.465","14,648,373.964","13,658,143.967","16,332,407.362","14,325,403.153","6,810,788.136","4,374,872.954","43,907,500","7,939,288.446","4,822,830.91","3,353,816.092","7,943,000","3,666,141.791"
InterestIncome,"4,500,000","1,000,000","1,200,000","1,200,000",,"2,000,000","2,500,000","4,000,000","9,200,000","9,900,000","11,400,000","11,000,000","10,200,000","9,300,000","6,900,000","5,800,000","4,500,000","4,061,000","3,866,000","3,163,000","2,392,000","1,964,000","1,888,000","1,705,000","1,746,000","1,176,000","1,333,000","1,364,000","1,422,000","1,402,000","1,339,000","1,319,000","1,333,000","1,318,000","1,282,000","1,337,000","1,369,000","1,400,000","1,318,000","1,203,000","1,085,000","963,000","904,000","863,000","793,000","634,000","514,000","399,000","268,000","304,000","428,000","535,000","714,000","742,000","595,000"
InterestExpense,"14,900,000","4,500,000","4,600,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-10,400,000","-3,500,000","-3,400,000","-3,300,000","-200,000","2,000,000","2,500,000","4,000,000","9,200,000","9,900,000","11,400,000","11,000,000","10,200,000","9,300,000","6,900,000","5,800,000","4,500,000","4,061,000","3,866,000","3,163,000","2,392,000","1,964,000","1,888,000","1,705,000","1,746,000","1,176,000","1,333,000","1,364,000","1,422,000","1,402,000","1,339,000","1,319,000","1,333,000","1,318,000","1,282,000","1,337,000","1,369,000","1,400,000","1,318,000","1,203,000","1,085,000","963,000","904,000","863,000","793,000","634,000","514,000","399,000","268,000","304,000","428,000","535,000","714,000","742,000","595,000"
EBIT,"643,300,000","211,800,000","161,300,000","149,500,000","120,500,000","168,200,000","125,800,000","115,600,000","79,100,000","118,400,000","100,000,000","75,200,000","50,600,000","85,100,000","62,800,000","50,700,000","32,400,000","42,198,000","33,696,000","28,410,000","5,840,000","46,026,000","7,771,000","-3,492,000","-5,344,000","14,584,000","4,043,000","2,952,000","898,000","19,916,000","15,451,000","11,142,000","12,815,000","24,643,000","18,279,000","13,777,000","15,391,000","35,040,000","25,770,000","20,950,000","18,715,000","26,520,000","26,160,000","18,779,000","17,445,000","20,698,000","18,159,000","9,780,000","6,704,000","7,454,000","9,676,000","4,975,000","3,229,000","6,273,000","3,220,000"
